ip,country,city,subdivision,latitude,longitude,accuracy_radius,postal_code,hostname,dns_hints,confidence,error
140.123.103.250,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,10,,csgate103.cs.ccu.edu.tw,,high,
211.22.226.198,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-226-198.caw1-3332.hinet.net,,medium,
210.69.250.126,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-250-126.hinet-ip.hinet.net,,high,
211.79.57.25,Taiwan,,,24.0,121.0,200,,ccu-ccu-76.twaren.net,,low,
211.73.76.209,Taiwan,,,24.0,121.0,200,,tp-a1.twaren.net,,low,
118.163.56.205,Taiwan,Zhubei,Hsinchu County,24.8351,121.0056,50,,118-163-56-205.hinet-ip.hinet.net,,medium,
61.31.254.69,Taiwan,Songshan,Taipei City,25.05,121.55,50,,61-31-254-69.static.tfn.net.tw,,medium,
203.163.222.39,Taiwan,,,24.0,121.0,200,,39-222-163-203-static.tpix.net.tw,,low,
223.200.89.126,Taiwan,Taichung,Taichung City,24.144,120.6844,50,,223-200-89-126.hinet-ip.hinet.net,,medium,
211.73.76.198,Taiwan,,,24.0,121.0,200,,tn-a2.twaren.net,Tainan,medium,
211.73.76.141,Taiwan,,,24.0,121.0,200,,hc-a2.twaren.net,Hsinchu,medium,
60.199.27.121,Taiwan,,,24.0,121.0,200,,60-199-27-121.static.tfn.net.tw,,low,
211.73.76.218,Taiwan,,,24.0,121.0,200,,nsysu-a1.twaren.net,,low,
211.79.58.26,Taiwan,,,24.0,121.0,200,,nsysu_nsysu-a1.twaren.net,,low,
60.199.27.161,Taiwan,,,24.0,121.0,200,,60-199-27-161.static.tfn.net.tw,,low,
210.69.250.49,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-250-49.hinet-ip.hinet.net,,high,
202.39.35.201,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,202-39-35-201.hinet-ip.hinet.net,,high,
211.73.76.150,Taiwan,,,24.0,121.0,200,,ncu-a1.twaren.net,,low,
211.79.51.26,Taiwan,,,24.0,121.0,200,,ncu-76-ncu.twaren.net,,low,
210.69.250.81,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-250-81.hinet-ip.hinet.net,,high,
203.163.222.15,Taiwan,,,24.0,121.0,200,,15-222-163-203-static.tpix.net.tw,,low,
140.112.0.69,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,wan0069.cc.ntu.edu.tw,,high,
140.112.0.201,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,core_wan_0201.cc.ntu.edu.tw,,high,
60.199.82.101,Taiwan,,,24.0,121.0,200,,60-199-82-101.static.tfn.net.tw,,low,
203.79.254.53,Taiwan,,,24.0,121.0,200,,203-79-254-53.ebix.net.tw,,low,
139.175.58.130,Taiwan,,,24.0,121.0,200,,r58-130.seed.net.tw,,low,
220.128.4.217,Taiwan,,,24.0,121.0,200,,220-128-4-217.tpdt-3309.hinet.net,,low,
220.128.4.221,Taiwan,,,24.0,121.0,200,,220-128-4-221.tpdt-3310.hinet.net,,low,
60.199.28.185,Taiwan,,,24.0,121.0,200,,60-199-28-185.static.tfn.net.tw,,low,
60.199.82.97,Taiwan,,,24.0,121.0,200,,60-199-82-97.static.tfn.net.tw,,low,
60.199.82.13,Taiwan,,,24.0,121.0,200,,60-199-82-13.static.tfn.net.tw,,low,
60.199.17.230,Taiwan,,,24.0,121.0,200,,60-199-17-230.static.tfn.net.tw,,low,
220.128.4.213,Taiwan,,,24.0,121.0,200,,220-128-4-213.tpdt-3309.hinet.net,,low,
210.69.250.118,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-250-118.hinet-ip.hinet.net,,high,
210.69.231.170,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-231-170.hinet-ip.hinet.net,,high,
163.29.154.181,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-154-181.hinet-ip.hinet.net,,high,
60.199.28.121,Taiwan,,,24.0,121.0,200,,60-199-28-121.static.tfn.net.tw,,low,
220.128.2.225,Taiwan,,,24.0,121.0,200,,220-128-2-225.tpdb-3316.hinet.net,,low,
211.73.76.154,Taiwan,,,24.0,121.0,200,,nctu-a1.twaren.net,,low,
211.79.53.30,Taiwan,,,24.0,121.0,200,,nctu-76-nctu.twaren.net,,low,
211.73.76.214,Taiwan,,,24.0,121.0,200,,ncku-a1.twaren.net,,low,
211.79.56.26,Taiwan,,,24.0,121.0,200,,ncku-76-ncku.twaren.net,,low,
61.219.29.194,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,61-219-29-194.hinet-ip.hinet.net,,high,
211.22.228.145,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-228-145.hinet-ip.hinet.net,,medium,
210.69.253.218,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-253-218.hinet-ip.hinet.net,,high,
